schools,year,hhabit,parksd,medu,girl,sports,bmi,chrt
21,2040,No,4,14,Yes,No,30.762522,0
38,2039,Yes,7,9,No,Yes,30.584618,2036
22,2032,No,5,0,Yes,Yes,30.793932,0
38,2039,Yes,7,9,No,No,29.408993,2036
23,2040,No,2,9,No,Yes,19.335033,0
29,2035,No,3,9,Yes,Yes,28.220089,0
8,2033,No,4,11,No,Yes,28.282801,0
12,2040,No,5,10,Yes,Yes,34.665859,0
12,2032,No,5,11,No,No,18.389942,0
37,2036,Yes,6,18,No,No,19.645096,2036
40,2039,Yes,4,9,Yes,No,27.354097,2036
16,2038,No,3,9,Yes,No,32.230656,0
17,2039,No,6,9,Yes,Yes,30.597889,0
39,2037,Yes,6,9,No,Yes,22.952549,2036
31,2035,No,3,8,Yes,No,26.257931,2038
10,2033,No,6,9,Yes,Yes,22.801609,0
11,2034,No,7,9,Yes,Yes,18.749229,0
24,2032,No,5,9,Yes,No,27.333555,0
19,2033,No,5,9,Yes,Yes,28.054018,0
2,2032,No,6,18,Yes,No,30.228359,2034
17,2036,No,6,14,Yes,Yes,27.346516,0
8,2035,No,4,0,Yes,No,26.849007,0
28,2033,No,3,7,Yes,No,25.538412,0
10,2037,No,6,8,Yes,Yes,20.820114,0
24,2033,No,5,13,No,No,27.344131,0
36,2033,No,3,10,Yes,Yes,30.475836,2036
21,2037,No,4,10,Yes,No,33.141037,0
6,2032,No,6,9,No,No,21.133575,0
4,2035,No,5,17,Yes,No,26.481762,0
15,2038,No,5,9,Yes,Yes,25.197189,0
38,2038,Yes,7,9,No,No,27.275404,2036
37,2039,Yes,6,8,Yes,Yes,21.251638,2036
14,2033,No,5,9,No,Yes,26.567114,0
26,2033,No,4,11,No,Yes,23.341742,0
32,2035,No,3,9,Yes,Yes,28.375788,2038
11,2035,No,7,14,No,Yes,18.95928,0
1,2039,Yes,6,8,Yes,No,23.898365,2034
37,2040,Yes,6,10,Yes,No,23.231091,2036
14,2039,No,5,9,Yes,No,34.188362,0
26,2039,No,4,9,No,Yes,25.565845,0
22,2036,No,5,7,Yes,Yes,29.98649,0
5,2035,No,4,11,Yes,Yes,19.940542,0
14,2038,No,5,10,Yes,No,19.720951,0
2,2036,Yes,6,9,No,Yes,19.315401,2034
29,2035,No,3,9,No,No,25.611717,0
37,2034,No,6,9,No,Yes,29.15766,2036
25,2037,No,5,19,No,Yes,26.79089,0
14,2038,No,5,9,Yes,No,21.128014,0
9,2035,No,3,10,No,Yes,28.489929,0
24,2040,No,5,10,No,No,25.253365,0
24,2035,No,5,9,No,Yes,16.956911,0
29,2037,No,3,9,No,Yes,31.33131,0
34,2040,Yes,3,9,Yes,Yes,19.508331,2038
4,2034,No,5,9,Yes,No,32.555843,0
14,2036,No,5,14,Yes,Yes,29.066095,0
33,2040,Yes,3,10,No,Yes,34.90564,2038
20,2039,No,4,9,Yes,Yes,21.291698,0
17,2039,No,6,9,Yes,No,27.364815,0
5,2035,No,4,9,No,Yes,18.20722,0
23,2038,No,2,10,No,Yes,27.090845,0
26,2038,No,4,9,No,Yes,34.664879,0
27,2039,No,6,12,Yes,No,21.138716,0
6,2036,No,6,8,Yes,Yes,34.445103,0
3,2034,Yes,5,8,No,Yes,20.794241,2034
9,2035,No,3,8,Yes,Yes,26.673367,0
9,2039,No,3,9,No,No,23.139112,0
27,2033,No,6,10,No,Yes,23.697563,0
12,2034,No,5,9,Yes,Yes,21.482845,0
38,2034,No,7,19,No,No,22.124886,2036
13,2032,No,3,10,Yes,Yes,26.168644,0
11,2037,No,7,9,No,Yes,19.012356,0
8,2038,No,4,18,Yes,Yes,35.267612,0
30,2033,No,6,8,No,Yes,22.832314,0
35,2033,No,3,7,No,Yes,20.414604,2038
35,2033,No,3,9,No,Yes,28.543644,2038
31,2040,Yes,3,9,No,Yes,15.433583,2038
10,2034,No,6,11,No,No,32.522945,0
29,2036,No,3,9,Yes,Yes,29.265877,0
