"county","year","cohort","treated","age","female","region","ssb_oz"
1,2010,0,0,25.6011057302666,0,"West",10.2341628633322
2,2010,0,0,18,1,"Northeast",8.33065253593284
3,2010,2013,0,38.7339869961363,1,"Northeast",14.6325935038022
4,2010,2017,0,41.5228682872856,1,"Northeast",4.06947580722426
5,2010,2017,0,21.3434022662193,1,"South",12.3416247457239
6,2010,0,0,56.5261333655409,0,"West",16.2597644589427
7,2010,2015,0,31.0729074038642,1,"West",9.23391045453601
8,2010,2013,0,25.5294121988186,1,"South",8.38470477145897
9,2010,2015,0,40.0285791924201,0,"South",13.5013622382231
10,2010,2017,0,31.2290648195205,1,"South",9.41559366350076
11,2010,2013,0,31.1428501119105,1,"Midwest",10.5806595632962
12,2010,2015,0,34.00943282896,1,"South",7.52349869373986
13,2010,2017,0,21.1813116025273,1,"Midwest",15.0339603396919
14,2010,0,0,50.2559279025871,1,"South",6.89763587628719
15,2010,0,0,26.8526281982061,1,"West",14.0733749675729
16,2010,2017,0,24.0615316321632,1,"South",16.0566019544912
17,2010,2013,0,46.2335765212415,1,"Northeast",7.07937654456054
18,2010,0,0,39.4836129447128,1,"West",8.07341137761548
19,2010,2013,0,52.3524909114617,0,"South",18.4977495512813
20,2010,2017,0,18,0,"Northeast",13.1996312924425
21,2010,2017,0,34.8689753402476,0,"South",10.2021147371407
22,2010,2017,0,31.0917139657616,0,"Midwest",14.8127685147161
23,2010,2013,0,18,1,"Midwest",17.0026363435539
24,2010,0,0,35.4894769106912,1,"Midwest",14.2927003312605
25,2010,2013,0,35.3731713488792,0,"Northeast",11.8499274701398
26,2010,2013,0,63.1340695777415,0,"South",15.3301350059685
27,2010,2015,0,25.1943437885895,0,"Midwest",11.5904119434423
28,2010,2015,0,25.6457100455245,1,"West",11.1983363459432
29,2010,2015,0,48.0286665763965,1,"West",8.78814261002122
30,2010,2015,0,18,1,"West",16.3272177589076
31,2010,2015,0,71.0324648054259,1,"Midwest",15.5219998147111
32,2010,2013,0,23.9348506879143,1,"Northeast",14.3799600026801
33,2010,2017,0,66.7255588334254,0,"Midwest",10.2910887824521
34,2010,2015,0,64.7335479682687,1,"Northeast",8.58599933411525
35,2010,2017,0,41.6612578221035,1,"Northeast",12.4359341318953
36,2010,0,0,32.4154220399061,0,"West",9.05186206288549
37,2010,0,0,43.8519803630737,1,"West",7.1595158975551
38,2010,0,0,39.4576504897895,0,"West",11.635423944116
39,2010,2013,0,18,0,"South",10.178337630083
40,2010,2015,0,40.9223233917338,0,"South",12.7355008326195
1,2011,0,0,47.7756722374064,0,"West",12.8454719434935
2,2011,0,0,52.0571642725754,0,"Northeast",4.47481387458081
3,2011,2013,0,25.0985360465916,1,"Northeast",8.9158469815229
4,2011,2017,0,42.3465408210579,0,"Northeast",15.1345625484555
5,2011,2017,0,52.7980831818401,0,"South",11.1962239410749
6,2011,0,0,65.555218312855,1,"West",7.9712152901063
7,2011,2015,0,44.997473565046,1,"West",10.7277896306592
8,2011,2013,0,45.384889400446,0,"South",9.53969295223667
9,2011,2015,0,48.0050907804214,0,"South",6.30082795198387
10,2011,2017,0,18,0,"South",9.4197049435743
11,2011,2013,0,39.9081724085579,1,"Midwest",10.4151823142511
12,2011,2015,0,31.3192610068664,0,"South",15.2423203849331
13,2011,2017,0,18,1,"Midwest",16.4064306920557
14,2011,0,0,48.5762203994857,1,"South",7.89615167631626
15,2011,0,0,51.3869304211892,0,"West",5.62310155427173
16,2011,2017,0,56.7271158635469,1,"South",10.7993915314116
17,2011,2013,0,65.3802900399738,1,"Northeast",6.82497138178279
18,2011,0,0,55.9401757804349,0,"West",13.5831480625448
19,2011,2013,0,55.7115458989481,1,"South",15.7323924904537
20,2011,2017,0,60.9402064931626,0,"Northeast",14.1246619755007
21,2011,2017,0,55.859515327909,1,"South",17.2750312081529
22,2011,2017,0,48.7914331946707,0,"Midwest",9.10072114563703
23,2011,2013,0,28.5153985930375,1,"Midwest",10.9179376382638
24,2011,0,0,35.7602840899751,0,"Midwest",13.794642558409
25,2011,2013,0,50.2957706561226,0,"Northeast",8.16703337156833
26,2011,2013,0,62.6489131530101,1,"South",13.5836373915797
27,2011,2015,0,36.9980019337006,1,"Midwest",11.4298725777079
28,2011,2015,0,27.1547519274241,0,"West",16.1130881970339
29,2011,2015,0,59.5141143342435,0,"West",14.2951626488155
30,2011,2015,0,18,0,"West",18.0783750951553
31,2011,2015,0,51.6042074703796,0,"Midwest",12.3320568662508
32,2011,2013,0,58.8860316515374,1,"Northeast",9.2509482549774
